Connection error occurred,"HTTPConnectionPool(host='191.37.183.209', port=60139): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f620ac0fda0>, 'Connection to 191.37.183.209 timed out. (connect timeout=10.48)'))"
Connection error occurred;HTTPConnectionPool(host='51.254.152.142', port=80): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fd2c4a38208>, 'Connection to 51.254.152.142 timed out. (connect timeout=15.2)'))
2019-07-10 19:05:45.502539;HTTP error occurred;
2019-07-10 19:05:45.883241;HTTP error occurred;
2019-07-10 19:05:46.130563;HTTP error occurred;
2019-07-10 19:05:46.329784;Connection error occurred;HTTPConnectionPool(host='138.197.157.44', port=3128): Max retries exceeded with url: http://www.i28.com/adidas-%E4%B8%89%E5%8F%B6%E8%8D%89-c-1034/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0a484a1a20>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:05:48.378646;Connection error occurred;('Connection aborted.', BadStatusLine('\x00[\x00\x00\x00\x00\x00\x00'))
2019-07-10 19:05:48.788246;Connection error occurred;HTTPConnectionPool(host='138.197.157.32', port=1080): Max retries exceeded with url: http://www.i28.com/adidas-%E4%B8%89%E5%8F%B6%E8%8D%89-c-1034/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:05:49.018014;HTTP error occurred;
2019-07-10 19:05:49.259879;HTTP error occurred;
2019-07-10 19:05:49.511097;HTTP error occurred;
2019-07-10 19:05:49.756826;HTTP error occurred;
2019-07-10 19:05:50.003969;HTTP error occurred;
2019-07-10 19:06:03.312523;HTTP error occurred;500 Server Error: Internal Server Error for url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/
2019-07-10 19:06:15.256737;Connection error occurred;HTTPConnectionPool(host='190.109.167.9', port=57608): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0a487aed30>, 'Connection to 190.109.167.9 timed out. (connect timeout=11.92)'))
2019-07-10 19:09:06.724824;Connection error occurred;HTTPConnectionPool(host='191.37.183.209', port=60139): Max retries exceeded with url: http://www.i28.com/adidas-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-987/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fdae901c080>, 'Connection to 191.37.183.209 timed out. (connect timeout=10.48)'))
2019-07-10 19:09:38.522426;Connection error occurred;HTTPConnectionPool(host='47.52.229.183', port=3128): Read timed out.
2019-07-10 19:33:29.590061;Time error occurred;HTTPConnectionPool(host='51.254.152.142', port=80): Read timed out. (read timeout=25.4)
2019-07-10 19:34:14.803702;Connection error occurred;HTTPConnectionPool(host='47.52.229.183', port=3128): Read timed out.
2019-07-10 19:34:30.026997;Connection error occurred;HTTPConnectionPool(host='45.224.44.15', port=8080): Max retries exceeded with url: http://www.i28.com/adidas-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-987/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2dc1f198>, 'Connection to 45.224.44.15 timed out. (connect timeout=15.2)'))
2019-07-10 19:34:42.374622;Connection error occurred;HTTPConnectionPool(host='46.167.206.116', port=8080): Max retries exceeded with url: http://www.i28.com/adidas-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-987/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2dc1f828>, 'Connection to 46.167.206.116 timed out. (connect timeout=12.32)'))
2019-07-10 19:35:06.657432;Connection error occurred;HTTPConnectionPool(host='200.127.155.221', port=8080): Max retries exceeded with url: http://www.i28.com/adidas-boost-c-983/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d7e9978>, 'Connection to 200.127.155.221 timed out. (connect timeout=10.36)'))
2019-07-10 19:35:13.599538;Connection error occurred;HTTPConnectionPool(host='41.65.186.166', port=8080): Max retries exceeded with url: http://www.i28.com/adidas-boost-c-983/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d7f52b0>, 'Connection to 41.65.186.166 timed out. (connect timeout=6.92)'))
2019-07-10 19:35:19.062857;Connection error occurred;HTTPConnectionPool(host='34.90.87.201', port=80): Max retries exceeded with url: http://www.i28.com/adidas-boost-c-983/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d7f5b38>, 'Connection to 34.90.87.201 timed out. (connect timeout=5.44)'))
2019-07-10 19:35:25.798828;Connection error occurred;HTTPConnectionPool(host='77.77.17.48', port=51368): Max retries exceeded with url: http://www.i28.com/adidas-nmd-c-1032/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d5fda20>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:35:33.705401;HTTP error occurred;429 Client Error: Too Many Requests for url: http://www.i28.com/adidas-yeezy-c-985/
2019-07-10 19:35:36.207059;HTTP error occurred;
2019-07-10 19:36:04.703246;Connection error occurred;HTTPConnectionPool(host='116.58.94.162', port=9999): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))
2019-07-10 19:36:04.946617;HTTP error occurred;
2019-07-10 19:36:05.331926;HTTP error occurred;
2019-07-10 19:36:05.526226;Connection error occurred;HTTPConnectionPool(host='67.205.149.230', port=8080): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d6c0128>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:36:05.721416;Connection error occurred;HTTPConnectionPool(host='67.205.132.241', port=3128): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d6c0a90>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:36:06.150300;HTTP error occurred;
2019-07-10 19:36:06.665702;HTTP error occurred;
2019-07-10 19:36:07.166887;HTTP error occurred;
2019-07-10 19:36:07.435770;Connection error occurred;HTTPConnectionPool(host='138.197.204.55', port=8080): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d6c6400>: Failed to establish a new connection: [Errno 111] Connection refused')))
