Connection error occurred,"HTTPConnectionPool(host='191.37.183.209', port=60139): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f620ac0fda0>, 'Connection to 191.37.183.209 timed out. (connect timeout=10.48)'))"
Connection error occurred;HTTPConnectionPool(host='51.254.152.142', port=80): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fd2c4a38208>, 'Connection to 51.254.152.142 timed out. (connect timeout=15.2)'))
2019-07-10 19:38:58.913814;Connection error occurred;HTTPConnectionPool(host='14.102.115.237', port=4153): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:38:59.487384;Connection error occurred;HTTPConnectionPool(host='139.59.64.9', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:00.017070;Connection error occurred;HTTPConnectionPool(host='139.59.53.107', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:00.531150;Connection error occurred;HTTPConnectionPool(host='139.59.53.106', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:00.793457;Connection error occurred;HTTPConnectionPool(host='138.197.204.55', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2daba438>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:39:01.339991;Connection error occurred;HTTPConnectionPool(host='139.59.109.156', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:01.911309;Connection error occurred;HTTPConnectionPool(host='139.59.101.223', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:02.183593;Connection error occurred;HTTPConnectionPool(host='139.59.99.63', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2de425f8>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:39:02.711750;Connection error occurred;HTTPConnectionPool(host='139.59.99.234', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:04.452996;Connection error occurred;HTTPConnectionPool(host='36.89.188.57', port=42812): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:05.040820;Connection error occurred;HTTPConnectionPool(host='110.232.80.234', port=4145): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:05.255508;Connection error occurred;HTTPConnectionPool(host='138.197.157.45', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2ddd5320>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:39:05.459314;Connection error occurred;HTTPConnectionPool(host='138.197.157.44', port=1080): Max retries exceeded with url: http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2da9c208>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:39:15.704693;Connection error occurred;HTTPConnectionPool(host='84.208.9.131', port=80): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d7b9128>, 'Connection to 84.208.9.131 timed out. (connect timeout=7.4)'))
2019-07-10 19:39:25.486912;Connection error occurred;HTTPConnectionPool(host='177.184.64.2', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d7b9a58>, 'Connection to 177.184.64.2 timed out. (connect timeout=9.76)'))
2019-07-10 19:39:27.315627;Connection error occurred;HTTPConnectionPool(host='202.166.196.6', port=59428): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:27.888693;Connection error occurred;HTTPConnectionPool(host='156.0.229.194', port=42692): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:28.573493;Connection error occurred;HTTPConnectionPool(host='190.224.35.254', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:30.229604;Connection error occurred;HTTPConnectionPool(host='200.220.222.91', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:31.062019;Connection error occurred;HTTPConnectionPool(host='202.164.211.116', port=64312): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:32.593512;Connection error occurred;HTTPConnectionPool(host='202.160.164.114', port=51372): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:33.324799;Connection error occurred;HTTPConnectionPool(host='125.27.251.171', port=36743): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:40.743030;Connection error occurred;HTTPConnectionPool(host='110.232.255.149', port=50580): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d716160>, 'Connection to 110.232.255.149 timed out. (connect timeout=7.4)'))
2019-07-10 19:39:41.569287;Connection error occurred;HTTPConnectionPool(host='103.30.115.162', port=1080): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:41.798015;Connection error occurred;HTTPConnectionPool(host='66.158.234.120', port=64312): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d7c2668>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:39:42.377056;Connection error occurred;HTTPConnectionPool(host='119.10.177.90', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:51.538655;Connection error occurred;HTTPConnectionPool(host='103.195.37.101', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))
2019-07-10 19:39:52.296336;Connection error occurred;HTTPConnectionPool(host='45.114.74.230', port=44550): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:53.092080;Connection error occurred;HTTPConnectionPool(host='45.114.72.111', port=59311): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:57.012354;Connection error occurred;HTTPConnectionPool(host='45.249.122.6', port=4153): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:57.587224;Connection error occurred;HTTPConnectionPool(host='45.231.252.7', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:39:58.304787;Connection error occurred;HTTPConnectionPool(host='103.76.190.37', port=31756): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:02.294526;Connection error occurred;HTTPConnectionPool(host='82.137.255.48', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:03.052324;Connection error occurred;HTTPConnectionPool(host='110.74.201.70', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))
2019-07-10 19:40:03.539408;Connection error occurred;HTTPConnectionPool(host='45.112.57.110', port=53682): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:05.798394;Connection error occurred;HTTPConnectionPool(host='202.166.203.23', port=39054): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:06.546384;Connection error occurred;HTTPConnectionPool(host='221.121.12.238', port=47012): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:08.199505;Connection error occurred;HTTPConnectionPool(host='150.129.111.54', port=45637): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:08.684317;Connection error occurred;HTTPConnectionPool(host='71.180.95.32', port=54321): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:15.503542;Connection error occurred;HTTPConnectionPool(host='103.66.233.149', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d7caa58>, 'Connection to 103.66.233.149 timed out. (connect timeout=6.8)'))
2019-07-10 19:40:15.526360;Connection error occurred;HTTPConnectionPool(host='92.245.114.12', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:16.069462;HTTP error occurred;
2019-07-10 19:40:16.372614;Connection error occurred;HTTPConnectionPool(host='79.106.35.65', port=1080): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))
2019-07-10 19:40:18.104689;Connection error occurred;HTTPConnectionPool(host='103.21.160.156', port=39236): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:18.749653;Connection error occurred;HTTPConnectionPool(host='117.206.83.158', port=44550): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:40:19.680229;Connection error occurred;HTTPConnectionPool(host='103.69.20.43', port=4145): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))
2019-07-10 19:40:33.070232;Connection error occurred;HTTPConnectionPool(host='185.10.166.8', port=8080): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d716e80>, 'Connection to 185.10.166.8 timed out. (connect timeout=13.36)'))
2019-07-10 19:40:45.419662;Connection error occurred;HTTPConnectionPool(host='198.50.172.167', port=1080): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d7c2780>, 'Connection to 198.50.172.167 timed out. (connect timeout=12.32)'))
2019-07-10 19:41:05.362290;Time error occurred;HTTPConnectionPool(host='198.50.172.165', port=1080): Read timed out. (read timeout=19.72)
2019-07-10 19:41:05.492118;Connection error occurred;HTTPConnectionPool(host='81.144.230.119', port=3128): Max retries exceeded with url: http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d7ca390>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:41:11.822749;Connection error occurred;HTTPConnectionPool(host='51.75.161.44', port=3128): Max retries exceeded with url: http://www.i28.com/champion-%E5%86%A0%E5%86%9B-c-1310/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d3af470>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:41:16.021709;Connection error occurred;HTTPConnectionPool(host='95.179.195.168', port=8080): Max retries exceeded with url: http://www.i28.com/ugg-%E9%9B%AA%E5%9C%B0%E9%9D%B4-c-1175/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d241908>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:41:20.687160;Connection error occurred;HTTPConnectionPool(host='113.11.47.134', port=48031): Max retries exceeded with url: http://www.i28.com/%E5%87%89%E6%8B%96%E9%9E%8B-c-1096/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:41:28.969048;Connection error occurred;HTTPConnectionPool(host='85.93.47.137', port=8080): Read timed out.
2019-07-10 19:41:29.297519;Connection error occurred;HTTPConnectionPool(host='82.114.82.90', port=56068): Max retries exceeded with url: http://www.i28.com/%E5%87%89%E6%8B%96%E9%9E%8B-c-1096/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:41:36.747615;Connection error occurred;HTTPConnectionPool(host='139.59.169.246', port=3128): Max retries exceeded with url: http://www.i28.com/%E6%9B%B4%E5%A4%9A%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1319/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d066240>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:41:36.994905;HTTP error occurred;
2019-07-10 19:41:37.122593;Connection error occurred;HTTPConnectionPool(host='139.59.169.246', port=8080): Max retries exceeded with url: http://www.i28.com/%E6%9B%B4%E5%A4%9A%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1319/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d615b38>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:41:37.360809;HTTP error occurred;
2019-07-10 19:41:37.600839;HTTP error occurred;
2019-07-10 19:41:37.836469;HTTP error occurred;
2019-07-10 19:41:38.090931;HTTP error occurred;
2019-07-10 19:41:38.347845;HTTP error occurred;
